model,resolution,protocol,size,row_type,condition,baseline_condition,baseline_map50_95,complete,expected_conditions,map50_95,map50_95_drop,map50_95_drop_percentage_points,map50_95_relative_drop,map50_95_retention,n_conditions,observed_partial_map50_95,worst_condition
leaf_yolo_n_external,640,common6,coco_small,condition,S3T1,S1T1,0.17055631441885877,True,1,0.14868988639416061,0.021866428024698153,2.1866428024698155,0.12820649941460238,0.8717935005853976,1,,
leaf_yolo_n_external,640,common6,coco_small,condition,S3T2,S1T1,0.17055631441885877,True,1,0.10969462651103283,0.06086168790782594,6.086168790782594,0.3568421850296287,0.6431578149703713,1,,
leaf_yolo_n_external,640,common6,coco_small,condition,S3T3,S1T1,0.17055631441885877,True,1,0.011554385010852075,0.1590019294080067,15.90019294080067,0.932254721555038,0.067745278444962,1,,
leaf_yolo_n_external,640,common6,coco_small,matrix9_mean_including_S1T1,aggregate,S1T1,0.17055631441885877,True,9,0.08948775068047879,0.08106856373837998,8.106856373837998,0.47531845428653363,0.5246815457134664,9,,
leaf_yolo_n_external,640,common6,coco_small,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.17055631441885877,True,8,0.07935418021318129,0.09120213420567748,9.120213420567747,0.5347332610723503,0.46526673892764964,8,,
leaf_yolo_n_external,640,common6,coco_small,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.17055631441885877,True,8,0.009567765800139086,0.1609885486187197,16.09885486187197,0.9439025999550964,0.056097400044903635,8,,S2T3
leaf_yolo_n_external,640,common6,large,condition,CLEAN,S1T1,0.49133888523245034,True,1,0.4963339279838982,-0.0049950427514478535,-0.49950427514478535,-0.010166186519279252,1.0101661865192793,1,,
leaf_yolo_n_external,640,common6,large,condition,S1T1,S1T1,0.49133888523245034,True,1,0.49133888523245034,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,common6,large,condition,S1T2,S1T1,0.49133888523245034,True,1,0.4870300944833645,0.004308790749085856,0.43087907490858557,0.00876948859247606,0.9912305114075239,1,,
leaf_yolo_n_external,640,common6,large,condition,S1T3,S1T1,0.49133888523245034,True,1,0.3588978248666826,0.13244106036576775,13.244106036576774,0.2695513511069054,0.7304486488930946,1,,
leaf_yolo_n_external,640,common6,large,condition,S2T1,S1T1,0.49133888523245034,True,1,0.39402548827038614,0.0973133969620642,9.73133969620642,0.19805759301144188,0.8019424069885581,1,,
leaf_yolo_n_external,640,common6,large,condition,S2T2,S1T1,0.49133888523245034,True,1,0.3846658812060695,0.10667300402638086,10.667300402638086,0.2171067815565103,0.7828932184434897,1,,
leaf_yolo_n_external,640,common6,large,condition,S2T3,S1T1,0.49133888523245034,True,1,0.24843327452866434,0.242905610703786,24.2905610703786,0.4943748968471494,0.5056251031528506,1,,
leaf_yolo_n_external,640,common6,large,condition,S3T1,S1T1,0.49133888523245034,True,1,0.4210336175884371,0.07030526764401324,7.030526764401324,0.14308915853617432,0.8569108414638257,1,,
leaf_yolo_n_external,640,common6,large,condition,S3T2,S1T1,0.49133888523245034,True,1,0.4238162300648246,0.06752265516762573,6.752265516762574,0.13742583214369664,0.8625741678563034,1,,
leaf_yolo_n_external,640,common6,large,condition,S3T3,S1T1,0.49133888523245034,True,1,0.2618116048840924,0.22952728034835795,22.952728034835797,0.46714658099932305,0.532853419000677,1,,
leaf_yolo_n_external,640,common6,large,matrix9_mean_including_S1T1,aggregate,S1T1,0.49133888523245034,True,9,0.3856725445694413,0.10566634066300906,10.566634066300907,0.21505796475485295,0.784942035245147,9,,
leaf_yolo_n_external,640,common6,large,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.49133888523245034,True,8,0.37246425198656513,0.11887463324588521,11.88746332458852,0.24194021034920965,0.7580597896507903,8,,
leaf_yolo_n_external,640,common6,large,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.49133888523245034,True,8,0.24843327452866434,0.242905610703786,24.2905610703786,0.4943748968471494,0.5056251031528506,8,,S2T3
leaf_yolo_n_external,640,common6,medium,condition,CLEAN,S1T1,0.3729371789430983,True,1,0.3732377318914853,-0.00030055294838698954,-0.030055294838698954,-0.0008059077114241919,1.0008059077114242,1,,
leaf_yolo_n_external,640,common6,medium,condition,S1T1,S1T1,0.3729371789430983,True,1,0.3729371789430983,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,common6,medium,condition,S1T2,S1T1,0.3729371789430983,True,1,0.3421999768522267,0.030737202090871607,3.0737202090871607,0.082419248673411,0.917580751326589,1,,
leaf_yolo_n_external,640,common6,medium,condition,S1T3,S1T1,0.3729371789430983,True,1,0.12832520450696386,0.24461197443613444,24.461197443613443,0.6559066466083197,0.34409335339168035,1,,
leaf_yolo_n_external,640,common6,medium,condition,S2T1,S1T1,0.3729371789430983,True,1,0.2990404425871905,0.07389673635590782,7.389673635590782,0.19814794696879168,0.8018520530312083,1,,
leaf_yolo_n_external,640,common6,medium,condition,S2T2,S1T1,0.3729371789430983,True,1,0.26534874305663037,0.10758843588646794,10.758843588646794,0.28848943457815845,0.7115105654218415,1,,
leaf_yolo_n_external,640,common6,medium,condition,S2T3,S1T1,0.3729371789430983,True,1,0.09183434649475236,0.28110283244834594,28.110283244834594,0.7537538446689324,0.24624615533106767,1,,
leaf_yolo_n_external,640,common6,medium,condition,S3T1,S1T1,0.3729371789430983,True,1,0.31046468945270095,0.062472489490397354,6.247248949039736,0.1675147800158837,0.8324852199841163,1,,
leaf_yolo_n_external,640,common6,medium,condition,S3T2,S1T1,0.3729371789430983,True,1,0.292116680429855,0.0808204985132433,8.08204985132433,0.21671343882175576,0.7832865611782442,1,,
leaf_yolo_n_external,640,common6,medium,condition,S3T3,S1T1,0.3729371789430983,True,1,0.09481678076529486,0.27812039817780343,27.81203981778034,0.7457566954466566,0.2542433045533434,1,,
leaf_yolo_n_external,640,common6,medium,matrix9_mean_including_S1T1,aggregate,S1T1,0.3729371789430983,True,9,0.2441204492320792,0.1288167297110191,12.88167297110191,0.345411337309101,0.654588662690899,9,,
leaf_yolo_n_external,640,common6,medium,corrupted8_mean_excluding_S1T1,aggregate,S1T1,0.3729371789430983,True,8,0.22801835801820183,0.14491882092489647,14.491882092489647,0.38858775447273863,0.6114122455272614,8,,
leaf_yolo_n_external,640,common6,medium,corrupted8_worst_excluding_S1T1,aggregate,S1T1,0.3729371789430983,True,8,0.09183434649475236,0.28110283244834594,28.110283244834594,0.7537538446689324,0.24624615533106767,8,,S2T3
leaf_yolo_n_external,640,common6,small,condition,CLEAN,S1T1,0.21960804973982703,True,1,0.21947945660589302,0.00012859313393401295,0.012859313393401295,0.0005855574697118948,0.9994144425302881,1,,
leaf_yolo_n_external,640,common6,small,condition,S1T1,S1T1,0.21960804973982703,True,1,0.21960804973982703,0.0,0.0,0.0,1.0,1,,
leaf_yolo_n_external,640,common6,small,condition,S1T2,S1T1,0.21960804973982703,True,1,0.1807617523251056,0.038846297414721426,3.8846297414721427,0.17688922359969605,0.823110776400304,1,,
leaf_yolo_n_external,640,common6,small,condition,S1T3,S1T1,0.21960804973982703,True,1,0.02256985382080461,0.1970381959190224,19.703819591902242,0.8972266551816135,0.10277334481838646,1,,
leaf_yolo_n_external,640,common6,small,condition,S2T1,S1T1,0.21960804973982703,True,1,0.15861356424469544,0.06099448549513159,6.099448549513159,0.27774248515659006,0.7222575148434099,1,,
leaf_yolo_n_external,640,common6,small,condition,S2T2,S1T1,0.21960804973982703,True,1,0.12447266747634318,0.09513538226348385,9.513538226348386,0.4332053509704775,0.5667946490295225,1,,
leaf_yolo_n_external,640,common6,small,condition,S2T3,S1T1,0.21960804973982703,True,1,0.013902514446628626,0.2057055352931984,20.57055352931984,0.9366939669875528,0.06330603301244715,1,,
leaf_yolo_n_external,640,common6,small,condition,S3T1,S1T1,0.21960804973982703,True,1,0.18955722602203334,0.03005082371779369,3.005082371779369,0.13683844355156993,0.8631615564484301,1,,
leaf_yolo_n_external,640,common6,small,condition,S3T2,S1T1,0.21960804973982703,True,1,0.1488925824586087,0.07071546728121833,7.071546728121833,0.32200762843163544,0.6779923715683646,1,,
leaf_yolo_n_external,640,common6,small,condition,S3T3,S1T1,0.21960804973982703,True,1,0.016964937740127525,0.2026431119996995,20.26431119996995,0.9227490168952088,0.0772509831047912,1,,
leaf_yolo_n_external,640,common6,small,matrix9_mean_including_S1T1,aggregate,S1T1,0.21960804973982703,True,9,0.11948257203046378,0.10012547770936325,10.012547770936326,0.4559280856415938,0.5440719143584062,9,,
