model,state,backend,resolution,condition,protocol,size,category_id,class_name,map50,map50_95,ar50,ar50_95,area_reference,category_name,checkpoint_sha256,evaluated_categories,gt_count,image_count,max_det
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,coco_small,2,,0.8370801204653806,0.4801746691104484,0.9622473246135553,0.5955856123662308,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,6728,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,coco_small,3,,0.4850152927131121,0.3006317989050981,0.8482142857142857,0.5214285714285715,original_image_pixels,bus,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,112,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,coco_small,4,,0.2914560873515753,0.15657437337671912,0.8501742160278746,0.47456445993031354,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,287,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,coco_small,5,,0.4809563161419935,0.2043185457418486,0.9279146745126885,0.4776756160353071,original_image_pixels,motorcycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,2719,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,common6,coco_small,6,,0.15574649344351313,0.06553138451467669,0.8251655629139073,0.3960264900662252,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,755,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,1,,0.5959621760822261,0.2636849211341847,0.9148960345415293,0.46165208499034194,original_image_pixels,pedestrian,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,8801,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,2,,0.43787483013897255,0.16164048518291893,0.9082730295325641,0.4552708781537258,original_image_pixels,people,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,5113,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,3,,0.2101352827218031,0.0883350381193296,0.852112676056338,0.4206572769953052,original_image_pixels,bicycle,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,1278,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,4,,0.8713921336585152,0.5989679197363478,0.972961373390558,0.6938268955650929,original_image_pixels,car,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,13980,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,5,,0.5189326564024944,0.3513010246622599,0.9599594526102382,0.6712113532691333,original_image_pixels,van,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,1973,548,3000
leaf_yolo_n_external,external_finetuned,leaf,1280,CLEAN,native10,all,6,,0.3820788194182367,0.24117865805856414,0.8248663101604278,0.5177807486631016,original_image_pixels,truck,1b1e088578f45ae981d8f3f03900b964b97711ac67ff8088565647cd7fac89e5,1,748,548,3000
