Model,Condition,Class_ID,Class_Name,mAP50,mAP50-95,Total_GTs
yolov8l,S1T3,2,bus,0.0001,0.0001,1975
yolov8l,S1T3,3,truck,0.0591,0.0366,750
yolov8l,S1T3,4,motorcycle,0.0008,0.0005,1296
yolov8l,S1T3,5,bicycle,0.0007,0.0004,5418
yolov8l,S2T1,0,person,0.1871,0.116,13969
yolov8l,S2T1,1,car,0.3602,0.2233,15351
yolov8l,S2T1,2,bus,0.001,0.0006,1975
yolov8l,S2T1,3,truck,0.1143,0.0709,750
yolov8l,S2T1,4,motorcycle,0.0039,0.0024,1296
yolov8l,S2T1,5,bicycle,0.0045,0.0028,5418
yolov8l,S2T2,0,person,0.1404,0.0871,13969
yolov8l,S2T2,1,car,0.3186,0.1975,15351
yolov8l,S2T2,2,bus,0.0003,0.0002,1975
yolov8l,S2T2,3,truck,0.0947,0.0587,750
yolov8l,S2T2,4,motorcycle,0.0023,0.0014,1296
yolov8l,S2T2,5,bicycle,0.0018,0.0011,5418
yolov8l,S2T3,0,person,0.0349,0.0216,13969
yolov8l,S2T3,1,car,0.19,0.1178,15351
yolov8l,S2T3,2,bus,0.0,0.0,1975
yolov8l,S2T3,3,truck,0.0229,0.0142,750
yolov8l,S2T3,4,motorcycle,0.0,0.0,1296
yolov8l,S2T3,5,bicycle,0.0005,0.0003,5418
yolov8l,S3T1,0,person,0.1895,0.1175,13969
yolov8l,S3T1,1,car,0.3928,0.2435,15351
yolov8l,S3T1,2,bus,0.0004,0.0002,1975
yolov8l,S3T1,3,truck,0.1225,0.076,750
yolov8l,S3T1,4,motorcycle,0.0069,0.0043,1296
yolov8l,S3T1,5,bicycle,0.0029,0.0018,5418
yolov8l,S3T2,0,person,0.1444,0.0895,13969
yolov8l,S3T2,1,car,0.3513,0.2178,15351
yolov8l,S3T2,2,bus,0.0004,0.0002,1975
yolov8l,S3T2,3,truck,0.0972,0.0603,750
yolov8l,S3T2,4,motorcycle,0.0047,0.0029,1296
yolov8l,S3T2,5,bicycle,0.0017,0.001,5418
yolov8l,S3T3,0,person,0.0373,0.0231,13969
yolov8l,S3T3,1,car,0.2115,0.1311,15351
yolov8l,S3T3,2,bus,0.0001,0.0001,1975
yolov8l,S3T3,3,truck,0.036,0.0223,750
yolov8l,S3T3,4,motorcycle,0.0004,0.0003,1296
yolov8l,S3T3,5,bicycle,0.0003,0.0002,5418
